"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Maquina Safrapay","[M.5.3.2][MSG] Última transação","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.3.3][MSG] Transações do dia","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.3.4][MSG] Transações Outros Dias","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.6.0][LOGIC] Cliente carterizado?","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.6.0][LOGIC] Cliente carterizado?","Track ""{state.name} validação""","{{state.name}} validação","Gerente | {{contaSelecionada@segmentoGerente}}","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.7.0][MSG] Como podemos ajudar? (EMP1)","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.7.0][INPUT] Como podemos ajudar? (EMP1)","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.5.7.0][INPUT] Como podemos ajudar? (EMP1)","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[M.5.7.0][LOGIC] Seguimento EMP1?","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.7.0][LOGIC] Seguimento EMP1?","Track ""{state.name} validação""","{{state.name}} validação","Gerente | {{contaSelecionada@segmentoGerente}}","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.5.0][MSG] Conseguimos te ajudar?","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.5.0][INPUT] Conseguimos te ajudar?","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.5.5.0][INPUT] Conseguimos te ajudar?","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.9.0.0][MSG] Como fazer Downgrade/Upgrade","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.9.0.0][INPUT] Como fazer Downgrade/Upgrade","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[MS.9.0.0][INPUT] Como fazer Downgrade/Upgrade","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.10.0.0][MSG] Menu Antecipação","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.10.0.0][INPUT] Menu Antecipação","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[MS.10.0.0][INPUT] Menu Antecipação","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.10.1.0][MSG] Contratar Antecipação Automatica","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.10.2.0][MSG]Contratar Antecipação Eventual","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.3.0][LOGIC] Cliente carterizado?","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.3.0][LOGIC] Cliente carterizado?","Track ""{state.name} validação""","{{state.name}} validação","Gerente | {{contaSelecionada@segmentoGerente}}","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.4.0][LOGIC] Seguimento EMP1?","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.4.0][LOGIC] Seguimento EMP1?","Track ""{state.name} validação""","{{state.name}} validação","Gerente | {{contaSelecionada@segmentoGerente}}","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.5.0][MSG] Como podemos ajudar? (EMP1)","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.5.0][INPUT] Como podemos ajudar? (EMP1)","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.10.5.0][INPUT] Como podemos ajudar? (EMP1)","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[M.10.3.1][MSG] Menu Sem Carteira","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.3.1][INPUT] Menu Sem Carteira","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.10.3.1][INPUT] Menu Sem Carteira","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[M.10.3.1][MSG] Conseguimos te ajudar?","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.3][INPUT] Conseguimos te ajudar?","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[M.10.3][INPUT] Conseguimos te ajudar?","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
