"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","Process ""apiStatus""","[""statusOcorrencia"",""statusProtocoloBpm""]","apiStatus","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.7.4.0][MSG] Status Protocolo Aberto","Process ""dynamicContent"" (DadosDoProtocolo)","[""bodyConsultaProtocolo""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] To ""Autenticacao"" (Simulador de vendas)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.0.1] [MSG] Simulador de Vendas - Máquina","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.4.0.0][INPUT] Não recebi minha venda","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.4.1.0][INPUT] Solicita valor da venda","Process ""userInput""","[""input.content"",""input.message""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] To ""Autenticacao"" (Não recebi minha VD)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] To Taxas e condições","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.1.0][MSG] Menu - Máquinas Safrapay","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.1.0][INPUT] Menu - Máquinas Safrapay","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.1.2][MSG] Menu - Vendas","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.1.2][INPUT] Menu - Vendas","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.2.0][MSG] Venda Online","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.2.0][INPUT] Venda Online","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.2.1][MSG] FAQ Venda Online","Process ""msgVendaOnline""","[""userInput""]","msgVendaOnline","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.2.2][MSG] Resposta foi util","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.2.2][INPUT] Resposta foi util","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] serviço WhatsApp PJ (Vendas Online)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] To Consultar OS","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.3.0][MSG] Cancelar Venda","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.3.0][INPUT] Cancelar Venda","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.4.0][MSG] Instrucoes sem senha","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.4.0][INPUT] Instrucoes sem senha","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.3.1][MSG] Qual transacao","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.3.1][INPUT] Qual trasacao","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.7.0][MSG] Como podemos ajudar? (EMP1)","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.7.0][INPUT] Como podemos ajudar? (EMP1)","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.5.0][MSG] Conseguimos te ajudar?","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.5.5.0][INPUT] Conseguimos te ajudar?","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] to Atendimento Humano","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.9.0.0][MSG] Como fazer Downgrade/Upgrade","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.9.0.0][INPUT] Como fazer Downgrade/Upgrade","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] To Main (Menu inicial)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.10.0.0][MSG] Menu Antecipação","Process ""dynamicContent""","[""cpfAppKey"",""contaSelecionada""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.10.0.0][INPUT] Menu Antecipação","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.5.0][MSG] Como podemos ajudar? (EMP1)","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.5.0][INPUT] Como podemos ajudar? (EMP1)","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.3.1][MSG] Menu Sem Carteira","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.3.1][INPUT] Menu Sem Carteira","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.3.1][MSG] Conseguimos te ajudar?","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[M.10.3][INPUT] Conseguimos te ajudar?","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] to Autenticacao (Falar sobre conta)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[Redirect] to Autenticacao (Whatsapp PJ Atendente)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
