"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.0.1][INPUT] Outro Motivo","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.0.2][INPUT] Origem da cobrança","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.1.0][INPUT] Onde visualizou a cobrança","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.2.0][INPUT] Solicita data da cobrança","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.1.0][INPUT] Sem máquinas","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.2.0][INPUT] Numero de Série","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.2.0][INPUT] Numero de Série","Process ""numeroSerie""","[""input.content""]","numeroSerie","context equals variable: userInput value: Valido"
"[DEV] SPD Taxas e Condicoes","[TC.4.3.0][INPUT] Alugada ou Comprada","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.3.0][INPUT] Alugada ou Comprada","Process ""sizeMaquinas""","[""consultMaquina"",""modalidadeMaquina""]","sizeMaquinas","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][INPUT] Lista número série","Process ""userInput""","[""sizeMaquinas"",""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.4.0][INPUT] Lista número série","Process ""numeroSerie""","[""consultMaquina"",""modalidadeMaquina"",""input.content""]","numeroSerie","context notEquals variable: userInput value: input inesperado"
"[DEV] SPD Taxas e Condicoes","[TC.4.6.0][INPUT] Como deseja prosseguir?","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[Redirect] To Finalizacao (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[Redirect] To WhatsApp PJ (atendente)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.1.0.0][MSG] Menu Taxas e condições","Process ""dynamicContent""","[""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.1.0.0][INPUT] Menu Taxas e condições","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[Redirect] To ""Autenticacao""","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[Redirect] To ""Autenticacao""","Process ""voltarState""","[""voltarState"",""state.previous.id"",""config.serviceName"",""lastVoltarState"",""state.previous.name""]","voltarState","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.1.0.0][SET] Menu Taxas e condições","Process ""taxMenuDestinationId""","[""userInput""]","taxMenuDestinationId","Sem condicionais para execução"
