"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] SPD Maquina Safrapay","[MS.7.2.0][INPUT] Quantidade de transações","exceptionType","MS.7.2.0",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.1][INPUT] Data das transações","exceptionType","data",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.1][INPUT] Data das transações","dataTransacao","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.2][INPUT] Horario das transações","horarioTransacao","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.2][INPUT] Horario das transações","exceptionType","hora",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.3][INPUT] Valor das transações","exceptionType","valor",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.4][MSG] Confirma transaçao","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.8.0.0][MSG] Menu Configurações","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.8.0.0][INPUT] Menu Configurações","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.8.2.0][INPUT] Seleciona modelo de maquina","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.8.2.0][MSG] Seleciona modelo de maquina","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.8.3.0][MSG] Device lock/Security","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.8.3.0][INPUT] Device lock/Security","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.8.5.0][MSG] Seleciona modelo de maquina","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.8.5.0][INPUT] Seleciona modelo de maquina","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.8.7.0][MSG] Sem SIM Card","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.8.8.0][MSG] Venda por aproximação","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.4][INPUT] Confirma transação","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.9.0.0][MSG] Menu Erros gerais","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.9.0.0][INPUT] Menu Erros gerais","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.9.5.0][MSG] Menu Acessar arquivo","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.9.4.0][MSG] Menu Ethernet","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.9.3.0][MSG] Menu Discado","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.9.2.0][MSG] Menu Torre de celular com X","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.9.1.0][MSG] Menu Erro desfazimento","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.9.5.0][INPUT] Menu Acessar arquivo","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.9.4.0][INPUT] Menu Ethernet","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.9.3.0][INPUT] Menu Discado","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.9.2.0][INPUT] Menu Torre de celular com X","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.9.1.0][INPUT] Menu Erro desfazimento","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","payloadProtocolo","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","idProtocoloBpm","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","payloadOcorrencia","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.7.4.0][MSG] Status Protocolo Aberto","dynamicContent","Execução de script",""
