"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Maquina Safrapay","[MS.8.5.0][MSG] Seleciona modelo de maquina","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.8.5.0][INPUT] Seleciona modelo de maquina","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[MS.8.7.0][MSG] Sem SIM Card","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.8.8.0][MSG] Venda por aproximação","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.2.4][INPUT] Confirma transação","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.9.0.0][MSG] Menu Erros gerais","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.9.0.0][INPUT] Menu Erros gerais","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[MS.9.5.0][MSG] Menu Acessar arquivo","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.9.4.0][MSG] Menu Ethernet","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.9.3.0][MSG] Menu Discado","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.9.2.0][MSG] Menu Torre de celular com X","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.9.1.0][MSG] Menu Erro desfazimento","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.9.5.0][INPUT] Menu Acessar arquivo","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.9.4.0][INPUT] Menu Ethernet","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.9.3.0][INPUT] Menu Discado","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.9.2.0][INPUT] Menu Torre de celular com X","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.9.1.0][INPUT] Menu Erro desfazimento","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","payloadProtocolo","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","idProtocoloBpm","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","payloadOcorrencia","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","apiStatus","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.7.3.0][HTTP] API Protocolo","exceptionType","erroApi",""
"[BETA] SPD Maquina Safrapay","[MS.7.4.0][MSG] Status Protocolo Aberto","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[Redirect] To ""Autenticacao"" (Simulador de vendas)","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.2.0.1] [MSG] Simulador de Vendas - Máquina","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.4.0.0][INPUT] Não recebi minha venda","exceptionType","MS.4.0.0",""
"[BETA] SPD Maquina Safrapay","[MS.4.1.0][INPUT] Solicita valor da venda","exceptionType","MS.4.1.0",""
"[BETA] SPD Maquina Safrapay","[MS.4.0.0] [SET] Não recebi minha venda Inicio","pesquisa","resolutividade",""
"[BETA] SPD Maquina Safrapay","[Redirect] To ""Autenticacao"" (Não recebi minha VD)","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[Redirect] To Taxas e condições","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.1.0][MSG] Menu - Máquinas Safrapay","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.1.0][INPUT] Menu - Máquinas Safrapay","assunto","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[M.5.1.0][INPUT] Menu - Máquinas Safrapay","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[M.5.1.2][MSG] Menu - Vendas","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.1.2][INPUT] Menu - Vendas","assunto","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[M.5.1.2][INPUT] Menu - Vendas","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[M.5.2.0][MSG] Venda Online","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.2.0][INPUT] Venda Online","assunto","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[M.5.2.0][INPUT] Venda Online","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[M.5.2.1][MSG] FAQ Venda Online","msgVendaOnline","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.2.2][MSG] Resposta foi util","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.2.2][INPUT] Resposta foi util","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[Redirect] serviço WhatsApp PJ (Vendas Online)","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[Redirect] serviço WhatsApp PJ (Vendas Online)","msg",,""
"[BETA] SPD Maquina Safrapay","[Redirect] To Consultar OS","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.3.0][MSG] Cancelar Venda","dynamicContent","Execução de script",""
