"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Taxas e Condicoes","[TC.4.3.0][INPUT] Alugada ou Comprada","modalidadeMaquina","{{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.4.4.0][INPUT] Lista número série","exceptionType","listaNumerica",""
"[BETA] SPD Taxas e Condicoes","[TC.4.6.0][INPUT] Como deseja prosseguir?","exceptionType","quickReply",""
"[BETA] SPD Taxas e Condicoes","[Redirect] To Finalizacao (Welcome)","state","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[Redirect] To WhatsApp PJ (atendente)","state","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.1.0.0][MSG] Menu Taxas e condições","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.1.0.0][INPUT] Menu Taxas e condições","assunto","{{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.1.0.0][INPUT] Menu Taxas e condições","exceptionType","lista",""
"[BETA] SPD Taxas e Condicoes","[Redirect] To ""Autenticacao""","state","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.1.0.0][SET] Menu Taxas e condições","taxMenuDestinationId","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[Redirect] to Atendimento Humano","state","Execução de script",""
